gewas,bodem,ghg,glg,B_GWL_CLASS,nf,leaching_to_set
akkerbouw,klei,10,50,I,0.02,gw
akkerbouw,veen,10,50,I,0.02,gw
akkerbouw,zand,10,50,I,0.02,gw
gras,klei,10,50,I,0.01,gw
gras,veen,10,50,I,0.01,gw
gras,zand,10,50,I,0.01,gw
mais,klei,10,50,I,0.03,gw
mais,veen,10,50,I,0.03,gw
mais,zand,10,50,I,0.03,gw
akkerbouw,klei,20,65,II,0.03,gw
akkerbouw,veen,20,65,II,0.03,gw
akkerbouw,zand,20,65,II,0.1,gw
gras,klei,20,65,II,0.03,gw
gras,veen,20,65,II,0.03,gw
gras,zand,20,65,II,0.2,gw
mais,klei,20,65,II,0.04,gw
mais,veen,20,65,II,0.04,gw
mais,zand,20,65,II,0.11,gw
akkerbouw,klei,32.5,65,IIb,0.05,gw
akkerbouw,veen,32.5,65,IIb,0.05,gw
akkerbouw,zand,32.5,65,IIb,0.15,gw
gras,klei,32.5,65,IIb,0.04,gw
gras,veen,32.5,65,IIb,0.04,gw
gras,zand,32.5,65,IIb,0.12,gw
mais,klei,32.5,65,IIb,0.06,gw
mais,veen,32.5,65,IIb,0.06,gw
mais,zand,32.5,65,IIb,0.17,gw
akkerbouw,klei,20,100,III,0.08,gw
akkerbouw,veen,20,100,III,0.19,gw
akkerbouw,zand,20,100,III,0.24,gw
gras,klei,20,100,III,0.06,gw
gras,veen,20,100,III,0.03,gw
gras,zand,20,100,III,0.31,gw
mais,klei,20,100,III,0.09,gw
mais,veen,20,100,III,0.14,gw
mais,zand,20,100,III,0.47,gw
akkerbouw,klei,32.5,100,IIIb,0.1,gw
akkerbouw,veen,32.5,100,IIIb,0.19,gw
akkerbouw,zand,32.5,100,IIIb,0.58,gw
gras,klei,32.5,100,IIIb,0.08,gw
gras,veen,32.5,100,IIIb,0.09,gw
gras,zand,32.5,100,IIIb,0.37,gw
mais,klei,32.5,100,IIIb,0.11,gw
mais,veen,32.5,100,IIIb,0.11,gw
mais,zand,32.5,100,IIIb,0.44,gw
akkerbouw,klei,60,100,IV,0.18,gw
akkerbouw,veen,60,100,IV,0.18,gw
akkerbouw,zand,60,100,IV,0.35,gw
gras,klei,60,100,IV,0.14,gw
gras,veen,60,100,IV,0.12,gw
gras,zand,60,100,IV,0.82,gw
mais,klei,60,100,IV,0.2,gw
mais,veen,60,100,IV,0.17,gw
mais,zand,60,100,IV,0.65,gw
akkerbouw,klei,20,120,V,0.13,gw
akkerbouw,veen,20,120,V,0.08,gw
akkerbouw,zand,20,120,V,0.39,gw
gras,klei,20,120,V,0.09,gw
gras,veen,20,120,V,0.1,gw
gras,zand,20,120,V,0.22,gw
mais,klei,20,120,V,0.14,gw
mais,veen,20,120,V,0.15,gw
